city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
鞍山,2022-04,19.0,9.0,26.0,1.0,72.0,16.0,2022-04-30,128.0,2022-04-17
鞍山,2022-03,9.0,0.0,19.0,-6.0,69.0,18.0,2022-03-16,120.0,2022-03-04
鞍山,2022-02,0.0,-8.0,10.0,-16.0,78.0,18.0,2022-02-26,138.0,2022-02-10
鞍山,2022-01,-1.0,-10.0,7.0,-15.0,137.0,33.0,2022-01-10,242.0,2022-01-21
鞍山,2021-12,0.0,-6.0,10.0,-19.0,104.0,18.0,2021-12-12,190.0,2021-12-14
鞍山,2021-11,6.0,0.0,20.0,-7.0,103.0,16.0,2021-11-22,191.0,2021-11-16
鞍山,2021-10,16.0,8.0,22.0,-1.0,78.0,19.0,2021-10-13,138.0,2021-10-25
鞍山,2021-09,24.0,16.0,30.0,11.0,63.0,14.0,2021-09-21,113.0,2021-09-24
鞍山,2021-08,27.0,20.0,31.0,18.0,82.0,16.0,2021-08-20,149.0,2021-08-31
鞍山,2021-07,30.0,23.0,35.0,20.0,33.0,9.0,2021-07-16,57.0,2021-07-07
鞍山,2021-06,26.0,18.0,32.0,14.0,64.0,14.0,2021-06-02,115.0,2021-06-07
鞍山,2021-05,23.0,14.0,31.0,8.0,83.0,18.0,2021-05-15,149.0,2021-05-21
鞍山,2021-04,17.0,8.0,27.0,2.0,125.0,20.0,2021-04-12,231.0,2021-04-09
鞍山,2021-03,10.0,2.0,21.0,-10.0,273.0,46.0,2021-03-05,500.0,2021-03-29
鞍山,2021-02,3.0,-4.0,26.0,-17.0,108.0,33.0,2021-02-07,184.0,2021-02-19
鞍山,2021-01,-3.0,-10.0,8.0,-22.0,202.0,28.0,2021-01-29,377.0,2021-01-26
鞍山,2020-12,-1.0,-8.0,5.0,-19.0,86.0,31.0,2020-12-14,141.0,2020-12-09
鞍山,2020-11,7.0,0.0,22.0,-8.0,151.0,23.0,2020-11-27,279.0,2020-11-16
