SEQ,酒店,国家,省份,城市,商圈,星级,业务部门,房间数,图片数,评分,评论数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销订单,城市直销拒单率,拒单率是否小于等于直销城市均值
aba_2066,马尔康嘉绒大酒店,中国,四川,阿坝,NULL,四星级/高档,OTA,85,NULL,4.143799782,108,34.06,45,75,22,44,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2069,阿坝马尔康县澜峰大酒店,中国,四川,阿坝,NULL,二星及其他,低星,115,NULL,3.977930069,129,34.06,35,72,27,59,34,71,27,59,6,17.65%,34147,7.90%,0
aba_2094,阿坝鑫鸿大酒店,中国,四川,阿坝,四姑娘山,二星及其他,低星,NULL,NULL,3.872980118,1,34.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2096,九寨沟管理局荷叶迎宾馆,中国,四川,阿坝,九寨沟沟口,二星及其他,低星,49,NULL,3.972340107,394,34.06,60,117,42,74,47,89,38,66,0,0.00%,34147,7.90%,1
aba_2097,九寨沟风景名胜区管理局贵宾楼饭店,中国,四川,阿坝,九寨沟沟口,三星级/舒适,低星,50,NULL,4.12789011,585,34.06,51,121,25,72,33,56,17,34,1,3.03%,34147,7.90%,1
aba_2098,九寨沟九鑫山庄,中国,四川,阿坝,九寨沟沟口,四星级/高档,OTA,60,NULL,4.04046011,161,34.06,32,66,21,45,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2102,九寨沟冈拉美朵酒店,中国,四川,阿坝,九寨沟沟口,四星级/高档,OTA,198,NULL,3.471659899,12,34.06,4,6,2,3,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2109,若尔盖大藏酒店古格王朝店,中国,四川,阿坝,西部旅游牧场,五星级/豪华,OTA,94,NULL,3.263220072,62,34.06,2,3,1,2,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2111,若尔盖大藏酒店圣地店,中国,四川,阿坝,西部旅游牧场,四星级/高档,OTA,188,NULL,3.921580076,119,34.06,21,31,16,26,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2117,九寨沟保利新九寨宾馆,中国,四川,阿坝,漳扎镇,五星级/豪华,OTA,329,NULL,4.353809834,269,34.06,39,75,18,39,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2134,九寨沟名人酒店,中国,四川,阿坝,漳扎镇,三星级/舒适,低星,292,NULL,4.539999962,57,34.06,103,188,68,129,70,126,49,89,2,2.86%,34147,7.90%,1
aba_2150,九寨沟仁智度假酒店,中国,四川,阿坝,九寨沟沟口,三星级/舒适,低星,137,NULL,3.782749891,173,34.06,44,94,27,58,5,7,5,7,1,20.00%,34147,7.90%,0
aba_2152,九寨沟药泉山庄,中国,四川,阿坝,黄龙机场、川主寺,四星级/高档,OTA,128,NULL,3.821099997,310,34.06,22,37,12,20,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
aba_2156,松潘黄龙寺华龙山庄,中国,四川,阿坝,黄龙风景区,四星级/高档,OTA,154,NULL,3.315500021,107,34.06,22,48,15,30,NULL,NULL,NULL,NULL,NULL,NULL,34147,7.90%,0
