编号,酒店名称,评论信息,备注,评论人,评论日期,评分,情感倾向
0,亚朵酒店,专门订了两间行政景观高级房间，可跟高端酒店名不符，完全对不上号。带孩子在一楼办理入住，好多蚊子飞来飞去，叮出几个包，跟前台说怎么这么多蚊子，前台的女经理头也不抬，随口应了一句：夏天是蚊子多的。入住后房间设施一般，洗手台好鸡肋，上面洗手下面漏水洗脚。枕头背后是湿，被子是湿润的。,,桂英帅,2022-01-30,1,负向
1,亚朵酒店,果然是快捷酒店，房间卫生不达标，施工不达标，很多家具都坏了。 服务员都是年轻人，没有酒店服务员的职业素养。总体来说 就是坑。,,帆xx帆,2022-03-03,1,负向
2,亚朵酒店,"6百多一晚酒店太差了 除了比较方便_x000D_
希尔顿也是6.7百多一晚比这好太多了 洗手间牙膏都是服务员后面给我送上去的  。建议还是去好点的酒店把像个旅社真的看这些环境用的这些",,想xx建,2022-02-07,1,负向
3,亚朵酒店,"正常三点入住，四点半到了说房间没有打扫好。让再等四十分钟，一小时后回来还让再等20分钟。说是要消毒还要主管审查过才能让入住。事实是入住后发现房间里面灰尘很大。床头桌一层灰。地板也是灰。_x000D_
_x000D_
想用亚朵会员给娃换个早餐，回复说在携程定的不能换。想用携程会员积分换，也说不给换。_x000D_
_x000D_
粉转黑了，不会再选这个酒店了。",,帆xx涛,2022-07-16,1,负向
4,亚朵酒店,床上用品卫生状况太差，小朋友睡了长包过敏，医生说被虫子咬的，两只手臂长了十几个，小朋友说又疼又痒，还把它抓破了。,,建华xx超,2022-11-21,1,负向
5,亚朵酒店,春节房费很高，但是居然在房间有活的大蟑螂，卫生情况一般，联系了送床围，没找来也没给回应，打了三次电话才送来,,坤xx云,2022-10-12,1,负向
6,亚朵酒店,电视没有信号！打了三个电话才来维修。,,红霞xx丽娟,2022-07-14,1,负向
7,亚朵酒店,"订单上写下午3点可入住，当我们下午5点到的时候，却被告知至少要再等一个半小时才可以入住，理由是房间还没收拾好，（同时旁边一家三口也在跟前台交涉，他们2点就到了，前台承诺一个小时让他们入住，结果到5点了依旧没住进去。）我们问有没有其他空的房间，前台说没有，但当我老公提出自己加钱升级房间后，前台立刻又说有房间可以升级，还赠送2份早餐，但第二天12点就必须退房，我们表示同意。第二天早上，我去吃早餐，报了房间号，服务员说我的房间没有早餐，不给进，我让他打电话跟前台确认，他说他已经发了信息，等前台回复，让我站门口一直等着，后来好不容易他收到回复，说我可以进去了，我坐下准备倒杯咖啡，发现咖啡机显示故障，我不会使用，于是找了服务员说明情况，并请她给我倒一杯，结果我早饭吃完了也没等到那杯咖啡。_x000D_
体验感极差，完全颠覆了亚朵之前在我脑海中的印象。",,桂芳xx建,2022-05-08,1,负向
8,亚朵酒店,"很差的体验感 空调整晚都在响   让工作人员上来的时候他说没有听到走了 之后过了了半小时又继续响 根本无法睡觉 后面在响的时候 工作人员看到我们录的视频终于帮我们弄 弄完已经差不多零晨4点 完全是不用睡_x000D_
钱还不能退",,琳xx秀珍,2022-09-20,1,负向
9,亚朵酒店,"我用积分兑换延迟退房到两点，外面下着暴雨，一到两点前台每10分钟催一次退房，真的很离谱。我也算是经常住亚朵的了，没有一家是这样无法商量的，不是周五周六，周日入住的人本来就会少一些，外面下着大雨诶，你要赶我去哪里？_x000D_
还有入住只给一张房卡，不给电卡，晚上突然房卡还失灵断电，打电话让前台送电卡来，一晚上都没等来，是后来过了十几分钟来回插卡折腾好的。服务差到离谱！再也不会去！",,红霞xx建,2022-06-10,1,负向
